"Item Location","Name","Simulate","Use Simple Template","Simple Template","Use Parameterized Template","Parameterized Template","Starting Address Base"
"\\Address Space\OPC_SERVER\Virtual_Box","EvalPar_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","EvalPar_ZRU35_ZRU35","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","EvalPar_KRUN6_KRUN6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","UVL_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","UVL_ZRU35_ZRU35","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","UVL_KRUN6_KRUN6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","CHL_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","REF_DI_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","REF_DO_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","RET_DI_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","RET_DO_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","REG_DI_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","REG_DO_ZRU6_ZRU6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","CHL_ZRU35_ZRU35","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","REF_DI_ZRU35_ZRU35","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","REF_DO_ZRU35_ZRU35","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","RET_DI_ZRU35_ZRU35","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","RET_DO_ZRU35_ZRU35","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","CHL_KRUN6_KRUN6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","REF_DI_KRUN6_KRUN6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","REF_DO_KRUN6_KRUN6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","RET_DI_KRUN6_KRUN6","No","No","","No","","0"
"\\Address Space\OPC_SERVER\Virtual_Box","RET_DO_KRUN6_KRUN6","No","No","","No","","0"
